iter	Passed	Remaining
651	7443	3973
652	7453	3960
653	7463	3948
654	7475	3937
655	7485	3925
656	7496	3913
657	7506	3901
658	7516	3889
659	7526	3877
660	7536	3865
661	7547	3853
662	7557	3841
663	7568	3829
664	7578	3817
665	7590	3806
666	7600	3794
667	7611	3782
668	7622	3771
669	7632	3759
670	7642	3747
671	7653	3735
672	7663	3723
673	7673	3711
674	7684	3699
675	7695	3688
676	7705	3676
677	7716	3664
678	7726	3652
679	7737	3641
680	7748	3629
681	7759	3617
682	7770	3606
683	7780	3594
684	7791	3582
685	7801	3570
686	7812	3559
687	7822	3547
688	7832	3535
689	7843	3524
690	7855	3512
691	7867	3501
692	7879	3490
693	7890	3479
694	7900	3467
695	7911	3455
696	7921	3443
697	7932	3432
698	7942	3420
699	7952	3408
700	7963	3396
701	7974	3384
702	7984	3373
703	7995	3361
704	8006	3350
705	8017	3338
706	8027	3326
707	8038	3315
708	8049	3303
709	8061	3292
710	8071	3280
711	8083	3269
712	8094	3258
713	8107	3247
714	8121	3237
715	8133	3226
716	8144	3214
717	8156	3203
718	8169	3192
719	8181	3181
720	8193	3170
721	8206	3159
722	8217	3148
723	8230	3137
724	8244	3127
725	8254	3115
726	8267	3104
727	8278	3093
728	8291	3082
729	8301	3070
730	8312	3058
731	8322	3047
732	8334	3035
733	8343	3023
734	8355	3012
735	8366	3001
736	8377	2989
737	8388	2978
738	8398	2966
739	8409	2954
740	8420	2943
741	8430	2931
742	8441	2919
743	8453	2908
744	8465	2897
745	8479	2887
746	8490	2875
747	8500	2863
748	8512	2852
749	8524	2841
750	8535	2830
751	8547	2818
752	8559	2807
753	8570	2796
754	8582	2784
755	8593	2773
756	8604	2762
757	8615	2750
758	8626	2739
759	8637	2727
760	8649	2716
761	8661	2705
762	8673	2694
763	8685	2682
764	8695	2671
765	8706	2659
766	8717	2648
767	8727	2636
768	8738	2624
769	8749	2613
770	8760	2601
771	8770	2590
772	8781	2578
773	8792	2567
774	8802	2555
775	8814	2544
776	8825	2533
777	8837	2521
778	8847	2510
779	8859	2498
780	8870	2487
781	8880	2475
782	8893	2464
783	8904	2453
784	8914	2441
785	8927	2430
786	8937	2419
787	8948	2407
788	8959	2395
789	8972	2384
790	8983	2373
791	8994	2362
792	9005	2350
793	9016	2339
794	9026	2327
795	9037	2316
796	9048	2304
797	9060	2293
798	9071	2281
799	9082	2270
800	9093	2259
801	9104	2247
802	9116	2236
803	9127	2225
804	9139	2213
805	9151	2202
806	9164	2191
807	9176	2180
808	9187	2169
809	9198	2157
810	9209	2146
811	9220	2134
812	9231	2123
813	9243	2112
814	9254	2100
815	9279	2092
816	9292	2081
817	9304	2070
818	9315	2058
819	9329	2048
820	9341	2036
821	9353	2025
822	9365	2014
823	9377	2003
824	9393	1992
825	9404	1981
826	9415	1969
827	9427	1958
828	9439	1947
829	9449	1935
830	9460	1923
831	9472	1912
832	9482	1901
833	9493	1889
834	9504	1878
835	9515	1866
836	9526	1855
837	9537	1843
838	9547	1832
839	9558	1820
840	9568	1809
841	9579	1797
842	9590	1786
843	9601	1774
844	9611	1763
845	9622	1751
846	9633	1740
847	9644	1728
848	9656	1717
849	9667	1705
850	9676	1694
851	9688	1682
852	9700	1671
853	9711	1660
854	9722	1648
855	9735	1637
856	9747	1626
857	9758	1615
858	9769	1603
859	9780	1592
860	9791	1580
861	9805	1569
862	9818	1558
863	9829	1547
864	9841	1535
865	9854	1524
866	9865	1513
867	9875	1501
868	9888	1490
869	9899	1479
870	9911	1467
871	9921	1456
872	9932	1444
873	9942	1433
874	9953	1421
875	9964	1410
876	9976	1399
877	9987	1387
878	9999	1376
879	10010	1365
880	10021	1353
881	10032	1342
